,ID de estado (Dar click para ordenar),Nombre del estado (Dar click para ordenar),Municipios del estado (Dar click para ordenar)
0,1,Aguascalientes,Ver listado de municipios del estado
1,2,Baja California,Ver listado de municipios del estado
2,3,Baja California Sur,Ver listado de municipios del estado
3,4,Campeche,Ver listado de municipios del estado
4,5,Coahuila de Zaragoza,Ver listado de municipios del estado
5,6,Colima,Ver listado de municipios del estado
6,7,Chiapas,Ver listado de municipios del estado
7,8,Chihuahua,Ver listado de municipios del estado
8,9,Distrito Federal,Ver listado de municipios del estado
9,10,Durango,Ver listado de municipios del estado
10,11,Guanajuato,Ver listado de municipios del estado
11,12,Guerrero,Ver listado de municipios del estado
12,13,Hidalgo,Ver listado de municipios del estado
13,14,Jalisco,Ver listado de municipios del estado
14,15,México,Ver listado de municipios del estado
15,16,Michoacán de Ocampo,Ver listado de municipios del estado
16,17,Morelos,Ver listado de municipios del estado
17,18,Nayarit,Ver listado de municipios del estado
18,19,Nuevo León,Ver listado de municipios del estado
19,20,Oaxaca,Ver listado de municipios del estado
20,21,Puebla,Ver listado de municipios del estado
21,22,Querétaro,Ver listado de municipios del estado
22,23,Quintana Roo,Ver listado de municipios del estado
23,24,San Luis Potosí,Ver listado de municipios del estado
24,25,Sinaloa,Ver listado de municipios del estado
25,26,Sonora,Ver listado de municipios del estado
26,27,Tabasco,Ver listado de municipios del estado
27,28,Tamaulipas,Ver listado de municipios del estado
28,29,Tlaxcala,Ver listado de municipios del estado
29,30,Veracruz de Ignacio de la Llave,Ver listado de municipios del estado
30,31,Yucatán,Ver listado de municipios del estado
31,32,Zacatecas,Ver listado de municipios del estado
